건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
1001,단독주택,74674,0,127.1646961727,36.7981182585
1001,단독주택,74675,0,127.164749413,36.798273646999995
1001,단독주택,74622,0,127.1639933566,36.7994152115
1001,단독주택,74641,0,127.1645636814,36.8019981201
1001,단독주택,74602,0,127.1638687602,36.8021084326
1001,단독주택,74601,0,127.1639707255,36.8020905479
1001,단독주택,74603,0,127.16388003739999,36.802020748400004
1001,단독주택,74600,0,127.16402879459999,36.802160416599996
1001,단독주택,135290,0,127.1647338308,36.8026284499
1001,단독주택,74632,0,127.1645638465,36.8025907745
1001,단독주택,74631,0,127.1645422162,36.8024638829
1001,단독주택,74597,0,127.1639416925,36.8028918542
1001,단독주택,74595,0,127.1639461252,36.8029920131
1001,단독주택,74598,0,127.16386110139999,36.8030918771
1001,단독주택,74593,0,127.163972053,36.8034068542
1001,단독주택,74592,0,127.1638357623,36.8033909649
1001,단독주택,74589,0,127.16395242649999,36.803968365500005
1001,단독주택,74591,0,127.1639413706,36.8038241726
1001,단독주택,74587,0,127.1638067463,36.803969107
1001,단독주택,74588,0,127.1638132559,36.8038890727
1001,단독주택,74590,0,127.1638001129,36.8038216561
1001,단독주택,74586,0,127.16394492239999,36.8041065576
1001,단독주택,74585,0,127.1639393057,36.8042442386
1001,단독주택,74583,0,127.16395246709999,36.804905446199996
1001,단독주택,74578,0,127.1638284571,36.8049735973
1001,단독주택,74582,0,127.16382006200001,36.804869810300005
1001,단독주택,74581,0,127.1639715849,36.8051342272
1001,단독주택,74580,0,127.163835339,36.8050898391
1001,단독주택,74579,0,127.1638485707,36.8050414012
1001,단독주택,74573,0,127.1639201743,36.8056429297
1001,단독주택,74569,0,127.1639402512,36.805910705100004
1001,단독주택,74568,0,127.1640285092,36.8060023939
1001,단독주택,74563,0,127.16398349379999,36.8072162575
1001,단독주택,74549,0,127.16421456879999,36.8085679705
1001,단독주택,74550,0,127.16406791610001,36.8086146894
1001,단독주택,74548,0,127.1641079843,36.808707455
1001,단독주택,74540,0,127.16442924969999,36.811214416300004
1001,단독주택,74535,0,127.1642922158,36.8112218546
1001,단독주택,74538,0,127.1644522417,36.8118156739
1001,단독주택,74539,0,127.1645389642,36.8118299934
1001,단독주택,74493,0,127.1646100582,36.8140086723
1001,단독주택,74494,0,127.16462834040001,36.8140751474
1001,단독주택,74483,0,127.16524606879999,36.814315389099995
1001,단독주택,74484,0,127.165302921,36.8143482663
1001,단독주택,74482,0,127.16539104350001,36.8143744042
1001,단독주택,74485,0,127.1652012711,36.8142450454
1001,단독주택,74488,0,127.1651681277,36.8142385145
1001,단독주택,74814,0,127.1647888858,36.8197334392
1001,단독주택,74824,0,127.1641111351,36.8201851647
1001,단독주택,74825,0,127.16404744,36.8200164717
1001,단독주택,74857,0,127.1629804492,36.8201720156
1001,단독주택,74840,0,127.15723801629998,36.825400906700004
1001,단독주택,140615,0,127.16225421989999,36.8330355339
1001,단독주택,30851,0,127.3593753243,36.7819138018
1001,단독주택,30849,0,127.3593108933,36.7819207117
1001,단독주택,30852,0,127.35942395069999,36.7818809644
1001,단독주택,28021,0,127.3621347388,36.7848277984
1001,단독주택,28022,0,127.3642147051,36.7838706355
1001,단독주택,30853,0,127.3593710292,36.781308247
1001,단독주택,30827,0,127.3650366543,36.7833453822
1001,단독주택,30828,0,127.36506708530001,36.7835171646
1001,단독주택,42903,0,127.36025095469999,36.778888902
1001,단독주택,42902,0,127.3598672596,36.779165010700005
1001,단독주택,30857,0,127.3662690873,36.779458347399995
1001,단독주택,30860,0,127.3663516019,36.779320548499996
1001,단독주택,30855,0,127.3661803568,36.778857979499996
1001,단독주택,30832,0,127.36772681129999,36.779094877199995
1001,단독주택,30944,0,127.3696172577,36.776194613
1001,단독주택,75437,0,127.3721083666,36.7781969623
1001,단독주택,30961,0,127.37321468649999,36.773749481399996
1001,단독주택,30925,0,127.37393523870001,36.7738808243
1001,단독주택,30926,0,127.3740894356,36.773857373
1001,단독주택,30923,0,127.37394022129999,36.7735602384
1001,단독주택,30922,0,127.3768642558,36.773895489299996
1001,단독주택,30921,0,127.376743483,36.773934366700004
1001,단독주택,30920,0,127.378015974,36.7736250829
1001,단독주택,51165,0,127.3790618665,36.7728838214
1001,단독주택,51170,0,127.3788876897,36.772621082
